optimizer,epoch,train_loss,val_loss,train_acc,val_acc,test_acc
SGD,1,1.425338468017578,0.4659898591995239,0.57254,0.8529,0.8633
SGD,2,0.35462463941574096,0.3058631946086883,0.89068,0.9078,0.9165
SGD,3,0.2531884785938263,0.4037346269607544,0.9226,0.8623,0.8695
SGD,4,0.19511193994522094,0.19457897028923035,0.94106,0.939,0.9476
SGD,5,0.15391473615407944,0.18784808634519576,0.95308,0.9429,0.9479
SGD + Momentum,1,0.41526222496986387,0.12162432966232299,0.87186,0.9646,0.9684
SGD + Momentum,2,0.08689214902818203,0.07222595604360103,0.97212,0.9784,0.9807
SGD + Momentum,3,0.05941526169359684,0.06848175795674324,0.98132,0.9822,0.982
SGD + Momentum,4,0.046811023609638215,0.05374784379899502,0.98528,0.9843,0.9856
SGD + Momentum,5,0.0380477964605391,0.05068773484379053,0.98802,0.9855,0.9884
Adam,1,0.26503320432543753,0.09774581097364425,0.9208,0.9712,0.9763
Adam,2,0.0711487784910202,0.07725556784570217,0.97812,0.9759,0.98
Adam,3,0.04836522920608521,0.0626871149122715,0.98464,0.9812,0.9836
Adam,4,0.036114679855927825,0.051743564543128014,0.98904,0.984,0.9862
Adam,5,0.028295270606577397,0.0468594430975616,0.9907,0.986,0.9881
